Timestamp,Perlakuan,Alasan,Frekuensi,daun bawang,merica,telur,pok cai,nugget or sausage.,seledri,kerupuk/emping,cheese stick,kacang,telor,kaldu,kremesan,cai po (lobak cina),kulit pangsit,cakue/cakwe/youtiao,kecap,cheesestick,sambal,bawang goreng,usus ayam,kulit ayam,telur puyuh,hati ayam,ampela/rempela/empedal ayam,Harga,Jenis Kelamin,Usia
4/14/2015 9:00:55,Diaduk,,5,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,9000,Laki-laki,16
4/13/2015 21:57:24,Diaduk,,5,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,10000,Perempuan,16
4/13/2015 22:07:20,Diaduk,enak semua nya kecampur,Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,10000,Perempuan,16
4/13/2015 22:38:03,Diaduk,tercampur rata,Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,10000,Laki-laki,16
4/14/2015 6:44:43,Tidak diaduk,lebih enak tidak diaduk krn kebiasaan,Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,10000,Perempuan,16
4/14/2015 8:10:28,Diaduk,karena sausnya tidak rata,Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,10000,Perempuan,16
4/18/2015 19:23:01,Tidak diaduk,Biar lebih gampang misahin yang gamau dimakan ,Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,10000,Laki-laki,16
4/26/2015 14:06:35,Diaduk,terasa lebih enak,Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,10000,Laki-laki,16
4/13/2015 22:19:21,Tidak diaduk,,Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,11000,Perempuan,16
4/13/2015 22:02:30,Diaduk,,Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,12000,Perempuan,16
4/13/2015 22:03:49,Tidak diaduk,"Aneh mengapa harus diaduk? Kecuali jika menggunakan sambal, tetapi saya lebih sering tdk mengaduknya",Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,12000,Laki-laki,16
4/13/2015 22:17:41,Diaduk,Enak,Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,12000,Perempuan,16
4/13/2015 23:09:12,Diaduk,,Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,12000,Perempuan,16
4/13/2015 23:28:03,Tidak diaduk,"biar keliatannya rapi dan ga aneh rasanya, trus kl ada yg ga suka bisa dipinggirin",Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,12000,Perempuan,16
4/14/2015 6:06:56,Diaduk,biar merata rasanya,Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,12000,Laki-laki,16
4/14/2015 7:38:05,Tidak diaduk,"Kalau diaduk, semua bubur, kecap, ayam jadi bercampur, bikin enek. Kalau tidak diaduk rasa buburnya jadi lebih terasa",Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,12000,Perempuan,16
4/13/2015 22:13:27,Diaduk,"tidak jelas, mood2an saja mau diaduk atau tidak",Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,13000,Laki-laki,16
4/13/2015 22:15:58,Diaduk,Karena perpaduan banyak hal adalah budaya Indonesia.,Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,13000,Laki-laki,16
4/14/2015 8:25:28,Diaduk,Agar bumbu tercampur rata,3,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,13000,Perempuan,16
4/14/2015 11:27:11,Tidak diaduk,kualitas tekstur topping akan berkurang apabila terlalu terendam dalam bubur (contoh: kerenyahan kerupuk/bawang goreng/daun bawang),Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,13000,Laki-laki,16
4/13/2015 22:03:37,Diaduk,Biar bumbunya meresap.. + cakuenya jadi gooey gajelas gitu,Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,15000,Perempuan,16
4/13/2015 22:12:32,Diaduk,"semuanya nyampur, jadinya rasanya rata dan enak :3",Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,15000,Laki-laki,16
4/13/2015 22:43:24,Diaduk,Nama angkatan udh singkatannya catragana gausah disingkat catra lagi tks. :),Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,15000,Perempuan,16
4/18/2015 5:48:17,Diaduk,,Tidak tentu (dalam satu minggu belum tentu makan bubur ayam),No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,15000,Laki-laki,16
4/14/2015 12:27:23,Diaduk,Biar lebih enak,3,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,16500,Perempuan,16
